,Smiles,pIC50
73,Clc1c(-c2c(SC)c(-c3nc(OC)c(CN4CC5(CN(C(=O)C)C5)C4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(CN(C(=O)C)C3)C2)cc1,1
74,Clc1c(-c2c(SC)c(-c3nc(OC)c(CN4CC5(NC(=O)CC5)C4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,1
75,Clc1c(-c2c(SC)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
76,Brc1c(-c2c(F)c(-c3nc(OC)c(CN4CC(O)C4)cc3)ncc2)cccc1-c1nc(OC)c(CN2CC(O)C2)cc1,1
77,Brc1c(-c2c(F)c(-c3nc(OC)c(CN4CC5(C4)CC(=O)NC5)cc3)ncc2)cccc1-c1nc(OC)c(CN2CC3(C2)CC(=O)NC3)cc1,1
78,Brc1c(-c2c(F)c(-c3nc(OC)c(CN4CC5(NC(=O)CC5)C4)cc3)ncc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,1
79,Brc1c(-c2c(F)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ncc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
80,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN4CC(F)C4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC(F)C2)cc1,1
81,Clc1c(c(F)ccc1-c1nc(OC)c(CN)cc1)-c1c(C#N)c(-c2nc(OC)c(CN)cc2)ccc1,1
82,Clc1c(c(F)ccc1-c1nc(OC)c(CNCCO)cc1)-c1c(C#N)c(-c2nc(OC)c(CNCCO)cc2)ccc1,1
83,Clc1c(c(F)ccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1)-c1c(C#N)c(-c2nc(OC)c(CNC[C@H]3NC(=O)CC3)cc2)ccc1,1
84,Clc1c(c(F)ccc1-c1nc(OC)c(C2=NCCN2)cc1)-c1c(C#N)c(-c2nc(OC)c(C3=NCCN3)cc2)ccc1,1
85,Clc1c(c(F)ccc1-c1nc(OC)c(CN)cc1)-c1c(F)c(-c2nc(OC)c(CN)cc2)ccc1,1
86,Clc1c(c(F)ccc1-c1nc(OC)c(C2=NCCN2)cc1)-c1c(F)c(-c2nc(OC)c(C3=NCCN3)cc2)ccc1,1
87,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN)cc3)ccc2F)c(F)ccc1-c1nc(OC)c(CN)cc1,1
88,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN4CC5(NC(=O)CC5)C4)cc3)ccc2F)c(F)ccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,1
89,Clc1c(-c2c(Cl)c(-c3nc(OC)c(C4=NCCN4)cc3)ccc2F)c(F)ccc1-c1nc(OC)c(C2=NCCN2)cc1,1
90,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2F)c(F)ccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
91,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNCCO)cc3)ccc2F)c(F)ccc1-c1nc(OC)c(CNCCO)cc1,1
92,Clc1c(c(F)ccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1)-c1c(Cl)c(-c2nc(OC)c(CN3CC4(NC(=O)CC4)C3)cc2)ccc1,1
93,Clc1c(c(F)ccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1)-c1c(Cl)c(-c2nc(OC)c(CNC[C@H]3NC(=O)CC3)cc2)ccc1,1
94,Clc1c(c(F)ccc1-c1nc(OC)c(C2=NCCN2)cc1)-c1c(Cl)c(-c2nc(OC)c(C3=NCCN3)cc2)ccc1,1
95,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNCCNC(=O)N)cc3)ccc2)cccc1-c1nc(OC)c(CNCCNC(=O)N)cc1,1
96,Clc1c(-c2c(Cl)cc(CNC[C@@H](O)CC(=O)O)c(OC)n2)cccc1-c1c(Cl)c(-c2c(Cl)cc(CNC[C@@H](O)CC(=O)O)c(OC)n2)ccc1,1
97,Clc1c(-c2c(Cl)cc(CNC[C@H]3NC(=O)CC3)c(OC)n2)cccc1-c1c(Cl)c(-c2c(Cl)cc(CNC[C@H]3NC(=O)CC3)c(OC)n2)ccc1,1
98,Brc1c(-c2c(F)c(-c3nc(OC)c(CNC[C@@H](O)CC(=O)O)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@@H](O)CC(=O)O)cc1,1
99,Brc1c(-c2c(F)c(-c3nc(OC)c(CNC[C@@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@@H]2NC(=O)CC2)cc1,1
100,Brc1c(-c2c(F)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
101,Brc1c(-c2c(F)c(-c3nc(OC)c(CNCCO)cc3)ccc2)cccc1-c1nc(OC)c(CNCCO)cc1,1
