,ID,Smiles,pIC50
66,66,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNCCS(=O)(=O)C)cc3)ccc2)cccc1-c1nc(OC)c(CNCCS(=O)(=O)C)cc1,9.036684
67,67,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN4C[C@@H](C(=O)O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CN2C[C@@H](C(=O)O)CC2)cc1,9.9665766
68,68,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN4CC(C(=O)O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC(C(=O)O)CC2)cc1,9.8632793
69,69,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN4CCCC4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CCCC2)cc1,9.6179829
70,70,Brc1c(-c2c(SC)c(-c3nc(OC)c(CN4CC5(CN(C(=O)C)C5)C4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(CN(C(=O)C)C3)C2)cc1,9.3665314
71,71,Brc1c(-c2c(SC)c(-c3nc(OC)c(CN4CC5(NC(=O)CC5)C4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,9.8239088
72,72,Brc1c(-c2c(SC)c(-c3nc(OC)c(CNCC4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,8.9318142
73,73,Clc1c(-c2c(SC)c(-c3nc(OC)c(CN4CC5(CN(C(=O)C)C5)C4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(CN(C(=O)C)C3)C2)cc1,9.8696661
74,74,Clc1c(-c2c(SC)c(-c3nc(OC)c(CN4CC5(NC(=O)CC5)C4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,9.5391026
75,75,Clc1c(-c2c(SC)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,9.8961964
76,76,Brc1c(-c2c(F)c(-c3nc(OC)c(CN4CC(O)C4)cc3)ncc2)cccc1-c1nc(OC)c(CN2CC(O)C2)cc1,8.4990778
77,77,Brc1c(-c2c(F)c(-c3nc(OC)c(CN4CC5(C4)CC(=O)NC5)cc3)ncc2)cccc1-c1nc(OC)c(CN2CC3(C2)CC(=O)NC3)cc1,8.0870342
78,78,Brc1c(-c2c(F)c(-c3nc(OC)c(CN4CC5(NC(=O)CC5)C4)cc3)ncc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,8.486516
79,79,Brc1c(-c2c(F)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ncc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,8.665144
